,filename,link
0,1.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/17048614/2022/2/4/b0eb9426-adf2-4802-a6b3-5dbacbc5f2511643971561167KhushalKWomenBlackEthnicMotifsAngrakhaBeadsandStonesKurtawit7.jpg"
1,10.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/16836356/2022/3/24/f41645f5-e62e-452c-ade0-f132d5de30e51648119245986-KALINI-Women-Blue-Yoke-Design-Kurta-with-Palazzos--With-Dupa-1.jpg"
2,100.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11056866/2022/3/30/dfdc555d-fd69-4c7f-bf76-c0a678fe72f21648618004857-ZIYAA-Floral-Leafy-Foil-Print-Kurta-Set-4351648618004327-1.jpg"
3,1000.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11056154/2019/12/5/30b0017d-7e72-4d40-9633-ef78d01719741575541717470-AHIKA-Women-Black--Green-Printed-Straight-Kurta-990157554171-1.jpg"
4,1001.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13791608/2022/2/14/09516263-6380-4df1-a7f6-647fc2ff1a511644842630055-Anouk-Women-Pink-Embroidered-Kurta-with-Palazzos-77516448426-1.jpg"
5,1002.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7319901/2018/9/18/ede2810e-0a86-43aa-a7aa-27d3d95a9b5f1537268175318-Libas-Women-Pink--Grey-Printed-Kurta-with-Palazzos--Dupatta-4071537268175098-1.jpg"
6,1003.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12894698/2020/12/1/7874dd20-d16f-4f08-bd37-7e70818c17851606801410448-anayna-Women-Pink--Magenta-Printed-Strappy-Straight-Kurta-47-1.jpg"
7,1004.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14709966/2021/7/10/d2407657-1f04-4d13-9f52-9e134050489b1625905793495-Nayo-Women-Red-Ethnic-Motifs-Printed-Empire-Pure-Cotton-Kurt-1.jpg"
8,1005.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11056856/2019/12/9/a72cb26c-90fe-40eb-a729-8cc104f48fcc1575891632881-Round-NeckWith--34th-Sleeve-Straight-Geometric-print-Polysil-1.jpg"
9,1006.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13391080/2022/2/21/3ad1838d-d29e-4945-9eca-64930f0939411645460975084KhushalKWomenWhiteWovenDesignKurtawithChuridarDupatta1.jpg"
10,1007.jpg,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13791594/2022/2/14/5ea707f4-8491-4d1c-b520-86a1cff4c86e1644841891629-Anouk-Women-Yellow--White-Printed-Kurta-with-Palazzos-706164-1.jpg"
