id,Brand,Description,Rating,Price
0,Khushal K,Women Black Ethnic Motifs Printed Kurta with Palazzos & With Dupatta,4.4,Rs. 1529
1,KALINI,Women Teal Yoke Design Kurta with Palazzos & With Dupatta,4.5,Rs. 887
2,ZIYAA,Floral Leafy Foil Print Kurta Set,3.5,Rs. 641
3,AHIKA,Women Black & Green Printed Straight Kurta,4.0,Rs. 526
4,Anouk,Women Pink Embroidered Kurta with Palazzos,4.4,Rs. 1049
5,Libas,Women Pink & Silver Printed Kurta with Palazzos & Dupatta,4.2,Rs. 1399
6,anayna,Women Pink & Magenta Printed Strappy Straight Kurta,4.4,Rs. 581
7,Nayo,Women Red Floral Printed Kurta With Trouser & Dupatta,4.1,Rs. 1553
8,ZIYAA,Women Cream-Coloured Printed Kurta with Trousers,3.5,Rs. 683
9,Khushal K,Women White Yoke Design Gotta Patti Kurta with Palazzos & Dupatta,4.4,Rs. 1424
10,Anouk,Women Yellow & White Printed Kurta with Palazzos,4.3,Rs. 989
11,anayna,Women Navy Blue & White Printed Straight Kurta,4.5,Rs. 447
12,Vishudh,Women Black & Golden Printed Straight Kurta,4.1,Rs. 517
13,Anubhutee,Women Navy Blue Ethnic Motifs Embroidered Thread Work Kurta with Trousers & With Dupatta,4.2,Rs. 1664
14,Varanga,Women Mauve & White Bandhani Printed Pure Cotton Kurta,4.3,Rs. 979
15,Anubhutee,Women Navy Blue Paisley Floral Embroidery Kurta Set,4.4,Rs. 831
16,KALINI,Women Coral Floral Printed Empire Gotta Patti Pure Cotton Kurta with Trousers & With Dupatta,4.1,Rs. 1298
17,Fabindia,Women Mustard Yellow Pure Cotton Striped Kurta,5.0,Rs. 1599
18,AHIKA,Floral Print Straight Cotton Kurta With Keyhole Neck,4.1,Rs. 527
19,Anubhutee,Women Green & Blue Printed Kurta with Trousers,4.1,Rs. 815
20,Libas,Women Green Pure Cotton Kurta with Palazzos & With Dupatta,4.5,Rs. 1349
21,Anouk,Women Mustard Yellow Yoke Design Foil Printed Kurta with Trousers & Dupatta,4.3,Rs. 1349
22,Anubhutee,Women Turquoise Blue & White Bandhani Print Kurta with Palazzos,4.2,Rs. 815
23,Fabindia,Women Rust Orange Cotton Striped Straight Kurta with Hand Screen Print,3.3,Rs. 1519
24,Libas,Women Blue Printed Kurta with Palazzos & Dupatta,4.4,Rs. 1429
25,Ahalyaa,Women Burgundy & Golden Printed Kurta with Trousers,4.0,Rs. 1540
26,AHIKA,Women Navy Blue & Off-White Printed Straight Kurta,4.0,Rs. 527
27,Anouk,Women Navy Blue Embroidered Kurta with Palazzos,4.2,Rs. 1049
28,Yuris,Women Blue Floral Printed Regular Thread Work Pure Cotton Kurta with Palazzos & With Dupatta,4.4,Rs. 1399
29,Libas,Women Blue & Grey Printed Pure Cotton A-line Kurta with Palazzos & Dupatta,4.5,Rs. 1199
30,Prakhya,Women Pink Self Design Kurta with Trousers & Dupatta,4.1,Rs. 989
31,JAIPURI BUNAAI,Women Teal Printed Kurta with Trousers & With Dupatta,4.3,Rs. 1039
32,Libas,Women Navy Blue & Beige Printed Anarkali Kurta,3.9,Rs. 702
33,Anubhutee,Women Maroon Ethnic Motifs Thread Work Pure Cotton Kurta with Trousers & With Dupatta,4.2,Rs. 1479
34,Jaipur Kurti,Women Blue & Green Printed Straight Kurta,4.2,Rs. 676
35,See Designs,Women Blue & White Khari Print Straight Kurta,4.1,Rs. 649
36,anayna,Women Green & White Floral Printed Straight Kurta,4.5,Rs. 419
37,KALINI,Women White Dyed Anarkali Kurta,4.2,Rs. 599
38,Varanga,Women Mauve Zari Yoke Design Chanderi Silk Kurta with Trousers & Dupatta,4.3,Rs. 2279
39,Anouk,Women Pink Ethnic Motifs Embroidered Kurta with Trousers & With Dupatta,4.1,Rs. 1919
40,Soch,Women Red Ethnic Motifs Printed Kurta,5.0,Rs. 1498
41,KALINI,Women Maroon Embroidered Gotta Patti Kurta with Palazzos & With Dupatta,3.6,Rs. 998
42,Libas,Women Sea Green & Pink Ethnic Motifs Printed Cotton Kurta with Palazzos & Dupatta,4.2,Rs. 1109
43,Libas,Women Sea Green & Pink Ethnic Motifs Printed Cotton Kurta with Palazzos & Dupatta,4.2,Rs. 1109
44,AHIKA,Cream-Coloured & Coral Orange Equal Striped Straight Kurta,3.8,Rs. 515
45,Nayo,Women Burgundy Printed Kurta with Palazzos & Dupatta,4.0,Rs. 1259
46,Libas,Women Brown & Golden Printed Kurta with Trousers,4.1,Rs. 1574
47,AHIKA,Women Maroon & Beige Printed Straight Kurta,3.8,Rs. 345
48,mokshi,Women Navy Blue & Golden Striped Kurta with Trousers,4.3,Rs. 899
49,Libas,Women Green & Off White Printed Kurta,4.4,Rs. 506
50,Ahalyaa,Women Beige Floral Printed Regular Gotta Patti Kurta with Palazzos & With Dupatta,3.4,Rs. 1799
51,Varanga,Women Pink & Silver-Toned Yoke Design Kurta with Palazzos & Dupatta,4.0,Rs. 2159
52,Anouk,Women Pink Printed Straight Kurta,3.9,Rs. 1079
53,InWeave,Women Orange Solid Kurta with Palazzos & Floral Print Dupatta,4.1,Rs. 1592
54,Fabindia,Women Red & Beige Chevron Yoke Design Pure Cotton Straight Kurta,3.9,Rs. 2799
55,Yuris,Women Pink & White Printed Kurta with Palazzos & Dupatta,4.2,Rs. 1203
56,Indo Era,Women Peach-Coloured Ethnic Motifs Printed Regular Mirror Work Kurta with Trousers & With Dupatta,4.3,Rs. 2039
57,Libas,Women Pink & White Embroidered Straight Kurta,4.4,Rs. 799
58,Anouk,Women Blue Embroidered Kurta with Palazzos,4.3,Rs. 1049
59,Varanga,Calm Blue And Grey Yoke Design Kurta Set,4.0,Rs. 1379
60,Libas,Women Pink & White Ethnic Motifs Print Cotton Straight Kurta,4.4,Rs. 714
61,Anouk,Women Navy Blue & Green Printed Pure Cotton Kurta with Trousers,3.8,Rs. 679
62,Varanga,Women Pink & White Printed Straight Kurta,4.1,Rs. 989
63,Libas,Floral Bliss Side Pocket Cotton Kurta Set,4.0,Rs. 849
64,Nayo,Women Pink & Off-White Floral Screen Print A-Line Pure Cotton Kurta Set With Dupatta,4.3,Rs. 1479
65,DIVYANK,Women Navy Blue & Grey Ethnic Motifs Printed Mirror Work Kurta with Palazzos,4.3,Rs. 809
66,Libas,Hunter Green Patterned Viscose Pathani Kurta With Shirt Collar,4.3,Rs. 844
67,Popnetic,Women Green & Golden Printed Straight Kurta,3.9,Rs. 489
68,Libas,Women Black Pure Cotton Yoke Design Panelled Kurta with Palazzos & Dupatta,4.6,Rs. 1924
69,AHIKA,Women Green & Mustard Yellow Printed Straight Kurta,3.8,Rs. 527
70,HERE&NOW,Women Sea Green & White Ethnic Motifs Printed Tie-Up Neck Kurta,4.2,Rs. 539
71,Libas,Thread Work Detailed Straight Kurta in Mustard Yellow,4.1,Rs. 659
72,Vishudh,Fuchsia Foil Print Yoke Cotton Kurta,3.8,Rs. 419
73,Vishudh,Women Navy Blue Printed A-Line Kurta,4.0,Rs. 517
74,Libas,Women Yellow & Grey Ethnic Motifs Printed Pure Cotton Kurta with Palazzos & Dupatta,4.7,Rs. 1109
75,Indo Era,Muted Hazelnut Geometric Yoke Kurta Set,4.3,Rs. 1109
76,KALINI,Women Blue Printed Kurta,4.1,Rs. 599
77,Jompers,Women Green & Blue Printed A-Line Kurta,4.1,Rs. 649
78,KALINI,Women Navy Blue & White Yoke Design Kurta with Trousers & Dupatta,3.7,Rs. 998
79,Libas,Women Green Ethnic Motifs Panelled Pure Cotton Kurti with Trousers & With Dupatta,4.3,Rs. 1259
80,anayna,Women Pink Self-Striped Kurta with Trousers & Dupatta,4.3,Rs. 1574
81,AHIKA,Women Dusty Pink & Golden Printed Straight Kurta,4.1,Rs. 513
82,max,Women Green Floral Printed Thread Work Kurta,4.0,Rs. 499
83,Anouk,Women Navy Blue Printed A-Line Kurta,4.3,Rs. 699
84,Indo Era,Women Navy Blue & Maroon Printed Pure Cotton Kurta with Trousers & Dupatta,4.3,Rs. 2023
85,Varanga,Mustard Marigold Cotton Straight Kurta,3.8,Rs. 989
86,Libas,Women Pink Solid Kurti With Sharara & Dupatta,3.8,Rs. 1539
87,Anouk,Women Blue & White Embroidered Mirror Work Kurta with Palazzos,4.4,Rs. 1124
88,Vishudh,Women Black Printed A-Line Kurta,4.2,Rs. 449
89,Anouk,Women Burgundy & White Floral Print Regular Pure Cotton Kurta with Trousers,3.6,Rs. 539
90,Vishudh,Women Pink & Off-White Printed Kurta with Palazzos,4.1,Rs. 769
91,Varanga,Mustard Yellow Ethnic Motifs Embroidered Kurta with Palazzos & With Dupatta,4.0,Rs. 1979
92,Anubhutee,Women Pink & Off-White Printed Kurta with Palazzos,4.4,Rs. 815
93,Yuris,Women Black & Maroon Cotton Ethnic Motif Block Print Kurta with Trousers & Dupatta,4.2,Rs. 1224
94,Anouk,Women Yellow Ethnic Motifs Embroidered Panelled Pure Cotton Kurta with Trousers,3.9,Rs. 929
95,Inddus,Women Burgundy Net Sheer Sequinned Kurta with Sharara & Dupatta,4.4,Rs. 2939
96,Varanga,Women Blue & White Printed Kurta,4.2,Rs. 681
97,HERE&NOW,Women White Solid Straight Kurta,4.1,Rs. 639
98,AHIKA,Women Grey & Pink Floral Print Straight Kurta,4.2,Rs. 527
99,FASHION DEPTH,Women White & Red Ethnic Motifs Embroidered Mirror Work Kurta,4.5,Rs. 999
100,AHIKA,Women Orange & Pink Digital Print Straight Kurta,3.9,Rs. 344
101,HERE&NOW,Women Lavender Pure Cotton Solid A-Line Kurta,4.4,Rs. 1819
102,Anouk,Women Red & Navy Blue Geometric Printed Kurta,4.5,Rs. 599
103,Fabindia,Women Pink & Golden Hand Block Printed Thread Work Kurta,4.5,Rs. 2699
104,Varanga,Women Turquoise Blue & White Leheriya Printed Paneled Kurta,4.3,Rs. 989
105,Anouk,Women Yellow Floral Yoke Design Regular Thread Work Pure Cotton Kurta with Trousers,3.5,Rs. 639
106,PANIT,Women Sea Green & Gold Self Design Kurta with Sharara & Dupatta,4.2,Rs. 2699
